id,task,task_label,objective,objective_label
1,2,Eat as much watermelon as possible,1,grams ▲
2,4,Empty the bathtub,2,time ▼
3,6,Find Alex,2,time ▼
4,8,High-five a 55-year-old,2,time ▼
5,9,Identify the contents of the pies,3,pies ▲
6,13,Throw a teabag into a mug,4,meters ▲
7,16,Get an egg as high as possible,4,meters ▲
8,17,Stand up after 100 seconds,5,difference in seconds ▼
9,18,Guess Frank’s age in minutes,6,difference in minutes ▼
10,20,Make a block of ice disappear,2,time ▼
11,23,Score 11 points,2,time ▼
12,24,Fill an eggcup with tears,7,tears ▲
13,26,Memorise an Australian Rules Football team,8,names ▲
14,28,Move the boulder as far as possible,9,miles ▲
15,29,Grow the longest nail,10,centimeters ▲
16,30,Make a bed while holding hands,2,time ▼
17,31,Make a Swedish person blush,11,blush depth in ticks ▲
18,34,Play mini golf with eggs,12,shots ▼
19,34,Play mini golf with eggs,13,eggs ▼
20,34,Play mini golf with eggs,14,minutes ▼
21,34,Play mini golf with eggs,15,points ▼
22,37,Separate the blue sweets,16,blue sweets ▲
23,39,Place the exercise balls on the yoga mat,2,time ▼
24,40,Get the potato into the hole,2,time ▼
25,41,Find out about the Swedish person,2,time ▼
26,41,Find out about the Swedish person,17,Fred facts ▲
27,42,Pack a suitcase,2,time ▼
28,44,Quickly eat an egg,2,time ▼
29,47,Order a pizza without using certain words,18,mistakes ▼
30,48,Put potatoes in a basket,19,potatoes ▲
31,50,Impress the Mayor,20,mayor's rating ▲
32,53,"See no potato, hear no potato, speak no potato",2,time ▼
33,54,Throw rabbits into a hat,21,behatted rabbits ▲
34,57,Conceal a pineapple on your person,22,wrong guesses ▲
35,58,Set a task / Guess who set the tasks,23,guessed tasks ▲
36,62,Move items across a stream,2,time ▼
37,64,Build a bridge for the potato,10,centimeters ▲
38,65,"Put on gloves, eat a banana, put on a tie, and clap",24,claps ▲
39,67,Reach the microwave in the fewest steps,25,steps ▼
40,68,Propel a pea along a red carpet,4,meters ▲
41,70,Balance swedes on a Swede,26,balanced swedes ▲
42,71,The heaviest shoebox-sized item,27,kilograms ▲
43,73,Release Alex,2,time ▼
44,75,Burst all of the balloons,2,time ▼
45,76,Unravel the tape,2,time ▼
46,78,Fill an eggcup with sweat,28,sweatdrops ▲
47,82,Anchor balloons using bread,29,anchored balloons ▲
48,84,Spread your clothes far and wide,30,square miles ▲
49,85,Find out the lying old man’s occupation,2,time ▼
50,87,Cover yourself in sticky notes,31,sticky notes ▲
51,90,Move water from one bucket to another,10,centimeters ▲
52,91,Play charades across a river,32,correct answers ▲
53,93,The lowest unique number of doughnuts,33,doughnuts ▼
54,97,Fell all the ducks,2,time ▼
55,98,Make the most fruit juice,34,milliliters ▲
56,100,Keep the basketball on the treadmill,35,time ▲
57,102,Get the flour onto the target,1,grams ▲
58,103,Put an egg in an egg cup without touching either,36,penalties ▼
59,103,Put an egg in an egg cup without touching either,2,time ▼
60,104,Make the longest balloon chain,37,chained balloons ▲
61,108,Persuade three animals to stand on the mat,2,time ▼
62,109,Transfer water from one fishbowl to another,34,milliliters ▲
63,111,Decant wine from one bottle to another,34,milliliters ▲
64,113,Make the highest splash,4,meters ▲
65,117,Make the tallest tube tower,38,tubes ▲
66,119,Slide as far as possible,4,meters ▲
67,120,Don the diving gear while maintaining eye contact and small talk,36,penalties ▼
68,120,Don the diving gear while maintaining eye contact and small talk,2,time ▼
69,123,Make the longest continuous noise,35,time ▲
70,124,Eat as many peas as possible,39,peas ▲
71,126,Pass a camel through a small gap,40,centimeters ▼
72,127,Score a goal with a shopping bag,41,kicks ▼
73,127,Score a goal with a shopping bag,2,time ▼
74,131,Identify the contents of the sleeping bag,42,identified items ▲
75,134,Cross the bunting to give Alex his lunch,36,penalties ▼
76,134,Cross the bunting to give Alex his lunch,2,time ▼
77,135,Hide from Alex,35,time ▲
78,136,Wheelie bin obstacle course,2,time ▼
79,139,Open the jar of mayonnaise,2,time ▼
80,140,The most cash,43,£ ▲
81,143,Strike an item the farthest,4,meters ▲
82,145,Draw the median duck,44,inches ◀
83,148,Get Alex to dry land,2,time ▼
84,149,Score a basket without your hands,2,time ▼
85,150,Get some fruit into the bowl,2,time ▼
86,152,Make a coconut-flinging machine,4,meters ▲
87,158,Retrieve the table tennis ball from the tube,2,time ▼
88,160,"Eat one item, balance one item, throw one item",2,time ▼
89,165,Blow up a balloon to the size of a cucumber,45,difference in centimeters ▼
90,166,Spot the difference,46,spotted differences ▲
91,167,Sneeze the fastest,2,time ▼
92,169,Backthrow a picture of a Swede into a bin,47,attempts ▼
93,174,Build a can tower & greet Alex from different countries,48,cans ▲
94,175,Identify the Finns,49,identified Finns minus non-Finns ▲
95,177,Balance Alex on a see-saw,27,kilograms ▲
96,180,Light a candle using a cupcake,2,time ▼
97,182,Kick yoghurt at a target,50,bull's-eyed yoghurt ▲
98,184,Travel blindfolded for three minutes and retrace your steps,51,meters off target ▼
99,185,Coconut bobsleigh,52,team members ▲
100,186,Vote for who should receive five points,53,votes ▲
101,188,Zipwire items to the Taskmaster,54,zip-lined items ▲
102,190,Transport a coconut as far as possible,4,meters ▲
103,192,Make the most fish puns,55,fish puns ▲
104,194,Throw an egg through a basketball hoop,56,caught makes ▲
105,196,Throw an exercise ball into a bath or put the coconuts in a trolley,2,time ▼
106,199,The second longest T-word,57,descended steps ▲
107,202,Find out what’s in the briefcase,2,time ▼
108,205,Record the most steps on your pedometers,58,steps ▲
